項次,裁處書日期,違規情節,罰鍰金額數,罰則註記
43,112/09/26,受處分人係「OO中醫診所（機構代碼:3801152100）」負責人，案係本局人員112年8月11日前往該診所查察，查現場2樓作為民俗調理用途，該區域與97年10月1日開業平面圖對照核屬診所核准登記醫療機構之總樓地板面積範圍，復經本局人員同年9月11日前往查察，查核期間於診所2樓見3位推拿師執行推拿，該診所登記事項變更未於事實發生之日起30日內辦理變更登記，核已違反醫療法第15條第1項之規定。,"50,000",醫療法第15條第1項
44,112/09/26,緣受處分人於部落格文章（網址：https:/OOOO1126.blogspot.com/p/bOOOOge.html及https://rOOOO26.blogspOOOOm/p/blog-page_24.html，本局下載日期：112年8月29日）刊登內容略以：「...看診請先來電預約...OO老師門診專線...曾多次受臺灣、香港...等地中醫學單位邀請，舉辦專題講座以及培訓班，傳授診斷理論方法及整複手法...大篇幅提出諸多關於骨肌膜的理論依據，完善真正中醫正骨...發展出獨樹一格的診斷和治療手法脈系。手法運用輕巧，順應人體流動和結構，還原各系統部位，解除病源」，及診所門診時間表，受處分人非醫療機構刊登醫療業務宣稱之廣告內容，核已違反醫療法第84條規定。,"50,000",醫療法第84條
45,112/09/22,受處分人係「OO診所(機構代碼：3501014216)」負責醫師，案係本局查有診所病人沈OO於112年2月1日及陳OO於112年4月18日、5月23日、6月28日分別接受埋線拉提及雷射治療，經檢視沈姓病人麻醉同意書及整形手術同意書無醫師簽章；另為陳姓病人執行雷射之醫師未記載或製作病歷紀錄，受處分人未督導其所屬醫事人員依規定製作病歷紀錄，核已違反醫療法第68條之規定。,"10,000",醫療法第68條第1項
46,112/09/18,緣受處分人係「OOOO診所（機構代碼：3501109630）」負責醫師，於個人instagram（帳號：OOOO）限時動態刊登廣告內容略以：「抽獎活動獎品：iphone15 pro...做過手術的人願意分享自己的心路歷程跟恢復期的樣子...我會從中抽出一個幸運兒!規則:...標記本人和美麗線診所帳號...獎品：iphone15 pro 256GB x1」等，受處分人非醫療機構刊載意圖招徠民眾醫療之廣告，已違反醫療法第84條。,"50,000",醫療法第84條
47,112/09/14,緣受處分人係「OOOO診所（機構代碼：3501109676）」負責醫師，案係該診所於（網址:https://www.instagram.com/OOOOn.tw/、本局下載日期:112年8月23日）刊登內容略以：「......全世界唯一獨家...再生飛彈減重，活化細胞再生減重-減脂療程有:全身減脂激活、...雙重保護兩倍護肝（再加碼$2000減重折價卷1張...）...元氣排毒修復點滴12（免疫、保肝）+12（胺基酸）原價$83000+$42000=$125000再爆驚喜優惠$5000。1.瘦瘦健康福袋（$6999）再生減重1週原價$9999、減醣神丸「速8」原價$1800...3.心肝平安福袋（$5999）養肝點滴2堂原價$9998...PR-RT高效血小板再生療法，誘導超過19生長因子，修復疤痕組織......」，並刊載診所名稱、電話等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
48,112/09/11,緣受處分人係「OOOO婦幼診所(醫療機構代碼:350102B364)」負責醫師，衛生福利部中央健康保險署111年12月21日來函檢附該診所病人謝O靜110年10月22日剖腹生產說明暨同意書及同年11月8日麻醉說明暨同意書，經檢視其內容皆未載有疾病名稱、建議手術原因、建議手術名稱及建議麻醉方式等欄位項目，核已違反醫療法第63條之規定。,"50,000",醫療法第63條
49,112/09/11,緣受處分人係「OOOO婦幼診所(醫療機構代碼:3501113750)」負責醫師，衛生福利部中央健康保險署111年12月21日來函檢附該診所病人蔡O潔110年11月2日剖腹生產說明暨同意書及同年月日麻醉說明暨同意書，經檢視其內容皆未載有疾病名稱、建議手術原因、建議手術名稱及建議麻醉方式等欄位項目，核已違反醫療法第63條之規定。,"50,000",醫療法第63條
50,112/09/11,緣受處分人係「OOOO診所(醫療機構代碼:3501113929)」負責醫師，衛生福利部中央健康保險署111年12月21日來函檢附該診所病人陳O容110年11月17日剖腹生產說明暨同意書及同年11月22日麻醉說明暨同意書，經檢視其內容皆未載有疾病名稱、建議手術原因、建議手術名稱及建議麻醉方式等欄位項目，核已違反醫療法第63條之規定。,"50,000",醫療法第63條
51,112/09/08,受處分人111年11月6日21時40分於OOOO醫院，以所乘坐之電動輪椅撞擊護理師，長時間跟隨執行醫療業務之護理師，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。,"30,000",醫療法第24條第2項
52,112/09/06,受處分人為「OO診所」負責醫師，案係本局112年6月20日至該診所查察，查有病人俞ＯＯ（病歷號碼：230OOOO）5月諮詢紀錄，其4處諮詢人員欄位中筆跡相異，卻見同位醫師蓋章、唐ＯＯ（病歷號碼：230OOOO）6至7月諮詢紀錄諮詢人員欄位112年6月7日查有F及N、112年7月18日有N之簽名，經112年6月24日書面陳述說明暨112年8月24日本局調查紀錄表坦承屬實。診所未督導其所屬醫事人員於執行醫療業務時親自記載病歷及製作紀錄，核已違反醫療法第68條之規定。,"10,000",醫療法第68條第1項
53,112/08/30,受處分人「OO牙醫診所」（機構代碼：3701113129，負責醫師：林OO），案係民眾反映於112年2月17日、5月25日及6月15日至診所就醫繳付醫療費用，診所無開立醫療收據提供民眾，經受處分人於112年8月22日(本局收文日：112年8月24日)函復本局說明坦承屬實，核已違反醫療法第22條第1項之規定。,0,醫療法第22條第1項
54,112/08/25,緣受處分人係「OO診所（機構代碼：350102F326）」負責醫師，案係該診所於Facebook帳號「OOOO醫美」（網址：https://www.facebook.com/OOOO；本局下載日期：112年8月4日）刊登內容略以：「...采依7月彈潤抗老#奢華大禮包...三區除皺＋金箔胜?＄3600（抬頭紋皺眉紋魚尾紋）肉毒拉提＋金箔胜?＄5888（輪廓線或咀嚼肌）快私訊＠采依醫美...」，以暗示贈送、優惠等具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
55,112/08/17,受處分人「OOOO外科診所」（機構代碼：350102A910，負責醫師：OOO），案係民眾檢舉及配合中山分局持搜索票，處分機關於112年6月19日及同年7月28日至OOOO外科診所查察。查診所候診區通往門診診療室通道放置1張觀察床，手術室2間內皆堆放雜物、凌亂，病歷堆放於手術室二櫃子及紙箱，核已違反醫療法第24條第1項之規定。,0,醫療法第24條第1項
56,112/08/15,緣受處分人係「OO診所（機構代碼：350102H517）」負責醫師，案係該診所於Facebook帳號「OO診所」（網址：https://www.facebook.com/tOOOO.clinic/posts/pfbid0KsFponYDhmXXpN5bUFES5juUC7XS3us3quEKLPqcgnKrKRCu9ojNNw2ns4ThnXSYl；本局下載日期：112年7月25日）刊登內容略以：「...寵愛媽咪精雕逆齡推薦...獨家好禮贈...媽咪微笑計畫...媽咪美體變身計畫...獨家好禮贈...」，以贈送物品暨具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
57,112/08/11,緣受處分人「OOOO」，其代表人為OO，案係民眾反映至該法人所屬「OOOO」接受乳房葉狀肉瘤手術，醫院收取特別治療費等云云。受處分人所負責醫療機構擅立收費項目收費之違規情事，核已違反醫療法第22條第2項規定。,"100,000",醫療法第22條第2項
58,112/08/09,緣受處分人「OOOO有限公司」於官網（網址：https://www.aOOOO.com/about；本局下載日期：112年5月1日）刊登內容略以：「...OOOO體系內提供高壓氧艙儀器設備，修復細胞所需營養，幫助傷口修復...雅德思體系內透過口掃機的協助，省去了傳統印模的時間以及不適感...我們擁有超過40位植牙專科醫師...為長期有牙齒困擾的民眾提供全方位的照護服務...服務項目 平價植牙 All-on-4全口重建 全瓷牙冠 陶瓷貼片...免費專線0800-066-086 聯絡地址 台北市大安區OO路一段177號46號B1」，該公司非醫療機構刊登醫療廣告，核已違反醫療法第84條規定。,"50,000",醫療法第84條
59,112/08/09,查OOOO醫院(下稱OOOO醫院)原於臺北市OO區OO路95號一品廳設置精神科日間照護單位(下稱日間照護單位)，該院112年3月24日淨空及拆除既有日間照護單位，將其搬遷至臺北市士林區OO路252號1樓﹙OOOO教育會館中棟1樓﹚收治病患，未向所在地主管機關申請核准登記，遲至112年6月26日始函報本局，核已違反醫療法第23條第4項之規定。,"50,000",醫療法第23條第2項
60,112/08/08,緣係受處分人於網頁「OOOO中心-OOOO專科國際醫療服務」（網址：https:/OOOOa-healthcare.com/portfolio-item/OOOOi-hernia-center/；本局下載日期：112年7月6日）刊載內容略以：「...OOOO中心 林O淯 醫師...前往『台北疝氣手術中心』...預約或諮詢...專科醫療合作單位  OOOO中心...」，經點擊網頁連結「前往OOOO中心」刊載內容略以：「...OOOO手術中心...預約或諮詢...OOOO手術中心 台北：台北市大安區OOOO二段276號...」等宣傳醫療業務達招徠患者醫療為目的之行為，核已違反醫療法第84條規定。,"50,000",醫療法第84條
61,112/08/04,"緣受處分人係「OOO診所（機構代碼：35010OOOO）」負責醫師，案係Instagram帳號「醫美諮詢· JJ（@ OOOO8)」（網址：https://www.instagram.OOOO/；本局下載日期：112年6月17日）刊登廣告內容略以：「『...台北OOOO...4月份還可以預約喔，活動優惠 滿額送玻尿酸或肉毒50u...』、『6月活動優惠價格...鼻線藍鑽骨優惠 6條11990/8條15600...+購除皺1區999/玻尿酸修順2000 不限條數19990/贈一區肉毒+修順鼻型玻尿酸...海芙音波/輪廓線小V臉緊緻...1000條45000贈除皺2區』」，並刊載診所名稱，以具有意圖促銷之醫療廣告為宣傳，經該診所坦承該廣告為其診所新進同仁疏忽所致，核已違反醫療法第86條規定。

","50,000",醫療法第86條
62,112/08/04,受處分人「OO診所」（機構代碼：35011OOOO，負責醫師：周O華），案係民眾於112年5月23日、6月7日至貴診所就醫並繳付醫療費用，其開立收據僅標示「醫美療程」及金額而未載明收費項目，經受處分人112年6月30日前函復說明坦承屬實，核已違反醫療法第22條第1項之規定。,0,醫療法第22條第1項
63,112/08/01,受處分人係「OOOO診所」（機構代碼：350102H179，負責醫師：藍O尹），案係本局112年4月18日至該診所查核，查有受處分人提供病人宋O烈112年3月16日及鄭O琳112年3月9日之醫療收據，未載明收費金額，已違反醫療法第22條第1項之規定。,0,醫療法第22條第1項
64,112/08/01,受處分人係「OOOO診所(機構代碼：35010OOOO)」負責醫師，案係本局人員112年4月18日至該診所查察，查有病人鄭O琳112年4月6日醫師問診紀錄表醫師署名無法辨認，111年12月13日、同年12月27日、112年3月9日護理紀錄表未見醫事人員簽章。病人林O誼醫師問診記錄表111年12月24日無醫師簽章，112年4月8日醫師署名無法辨認。病人宋O烈及林O宏病歷資料未有醫師看診紀錄，療程記錄表分別載有點滴第一劑、點滴第二劑及董博點滴，亦均無可辨識之簽章，核已違反醫療法第68條第1項之規定。,"10,000",醫療法第68條第1項
65,112/07/20,緣受處分人於通訊軟體LINE群組「江O明院長(LineID：OOOO)」刊登廣告內容略以：「減重療程券有《限量開幕價》唷！（一週藥+15針埋線）限量優惠價/單次1000元/10次6300元。之後價格恢復/單次1000元/10次8000元/。數量有限售完為止。單純減重藥一週500元，單純埋線一次15針600元。」等宣傳醫療業務，招徠患者之醫療廣告，已違反醫療法第84條。,"50,000",醫療法第84條
66,112/07/19,緣受處分人係「OOOO診所(機構代碼：3501OOOO2)」負責醫師，案係該診所（一）於Facebook帳號「OOOO美學」(網址：https://www.facebook.com/OOOOp?id=100086496111728；本局下載日期：112年6月2、5日) 刊載內容略以：「... 母親節優惠16888 請立即私訊小編、初樂極緻美學?魔纖活妍方案 ... 超值1+1、母親節4D真 童妍拉提套組...購買套組即贈『#肉毒輪廓拉提』乙次、奢美御顏計畫 / 拉提微整...限時優惠>>活動至5/13結束…本來想要割雙眼皮，沒想到鳳凰電波打完後，雙眼皮就跑出來了…」；（二）於Instagram帳號「OOOO美學（@trueloveeOOOOuty)」（網址：https://www.instagram.com/truelOOOObeauty/；本局下載日期：112年6月2、5日)刊載內容略以：「…全台最狂醫美週年慶、珍愛價、鳳凰電波900發《好禮3選1：童顏針/音波300/玻尿酸》、增肌減脂 (8)堂《贈 G動椅 1堂》、探索極緻皮秒 4＋1堂《贈 M22網美濾鏡 2堂》…」；（三）於通訊軟體LINE「初樂極緻美學診所旗艦館(ID：@OOOO)」刊載略以：「…10月周年慶 週年慶早鳥超值方案......現金回饋5%...現金回饋7%...現金回饋10%、週五專屬...回饋 網美濾鏡彩衝光M22、週年慶回饋 76888...贈肉毒除皺、初樂極致保濕修護面膜5片...16888...贈初樂極致保濕修護面膜2片、杏仁酸換膚亮白療程、32888...贈初樂極致保濕修護面膜15片、肉毒除皺…」，以優惠、贈送物品暨具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"70,000",醫療法第86條
67,112/07/17,緣受處分人係「OOO牙醫診所（機構代碼：3701028429）」負責醫師，案係該診所於委託OOOO生技公司於Dcard「SOVxDcard隱形牙套體驗日-牙齒矯正版｜Dcard」（網址：https://www.dcard.tw/f/orthodontics/p/241627064?cid=A1F927AA-8B23-4A95-91D2-FDFCC3BB3012；本局下載日期：112年5月18日）刊登內容略以：「...SOV X Dcard 隱形牙套體驗日...【體驗禮】單排牙齒噴砂美白...【正式矯正規格】全口矯正：16-18萬局部矯正：9萬9貼片：上排6顆10萬  【體驗專屬】 1.本次活動體驗參加者，牙套費用可享【SOV x Dcard體驗日專案價】 2.完成活動體驗並回填心得者， Dcard贈送711電子禮券$500元.....」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
68,112/07/17,緣受處分人係「OO復健科診所（機構代碼：3501195369）」負責醫師，案係民眾陳情OO復健科診所張貼廣告單內容略以：「開幕慶1.即日起至8/31止掛號費（free）!2.提供35歲以上成人檢測骨密度乙次3.提供15歲以下孩童檢測骨齡乙次」，經本局人員於112年6月12日現場查察，旨揭廣告單張張貼於入口處玻璃門上，並刊載診所名稱、地址、預約電話等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
69,112/07/07,"緣受處分人係「OOOO診所（機構代碼：350102G092）」負責醫師，案係該診所於Facebook帳號「KBeauty 時尚美學診所」（網址：https://www.facebook.com/story.php?story_fbid=pfbid031E L5io2Pt7QQcBNR897eqmc32
nXkj78Z4dQZwzNu7fkP8V1oG5pqozH9m Zveu92ul&id=100021299197421&mibextid=Nif5oz&_rdr；本局下載日期：112年3月20日）刊登內容略以：「......海菲秀X肉毒2999...海菲秀...加贈肉毒...」，並刊載診所名稱、地址及電話等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
70,112/07/05,受處分人為「OOOO」(機構代碼:0501OOOO4)，案係該機構所屬醫師於112年3月4日執行病人吳OO腎臟摘除手術，遲至112年4月20日始完成將前開日期之手術紀錄登載於電子病歷。受處分人未督導所屬醫事人員於執行業務時，即時詳實記載病歷或製作紀錄，核已違反醫療法第68條規定。,"10,000",醫療法第68條第3項
71,112/07/03,緣受處分人係「OOOO診所」負責醫師，經本局於112年4月18日派員至OOOO診所查察，查獲病患張ＯＯ於111年12月3日接受羅ＯＯ醫師施行中臉部拉皮手術，惟查該診所於112年5月31日方取得本局核准登記施行該項手術項目。該診所未經主關機關核准登記，即施行特定美容醫學手術，核已違反特定醫療技術檢查檢驗醫療儀器施行或使用管理辦法第4條及醫療法第62條第2項規定。,"50,000",醫療法第62條第2項
72,112/06/30,"受處分人「OOOO牙醫診所」（機構代碼：3701173901，負責醫師：	林O），案係民眾反映於111年9月27日、112年3月20日至診所就醫繳付醫療費用，診所無開立醫療收據提供民眾，經受處分人於112年6月21日函復本局說明坦承屬實，核已違反醫療法第22條第1項之規定。",0,醫療法第22條第1項
73,112/06/30,"緣受處分人係「OOOO診所（機構代碼：35011OOOO）」負責醫師，案係該診所於（網址:https://www.101beauty.com/MotherDay/index.html、本局下載日期:112年5月11日）刊登內容略以：「...好姊妹2人同行一起變美麗：鳳凰電波（450發）+Q+音波（200條）&鳳凰電波（450發）+Q+音波（200條）=88,000、電音雙波&針劑-輪廓塑型：Q+音波/1條50、鳳凰電波（900發）/78,000...」，並刊載診所名稱、網址等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
74,112/06/27,緣受處分人係「OO牙醫診所（機構代碼：3701192559）」負責醫師，案係民眾反映該診所於門外懸掛優惠廣告之紅布條，經本局稽查人員112年6月6日至該診所查察，診所外電視及門口懸掛紅布條皆刊有「新開幕免費植牙諮詢、再贈送精美旅行潔牙組」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
75,112/06/20,"緣受處分人係「OO診所（機構代碼：350110A173）」負責醫師，案係該診所於Line帳號「OOxOO台北門診(LINE ID:@wee_taipei )」刊載內容略以：「OO儲值回饋活動，儲50,000贈2,000，儲80,000贈5,000，儲120,000贈 12,000，當日儲值可直接折抵5月限定」，並刊載診所名稱、地址及電話等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
76,112/06/19,受處分人係「OOOO診所（機構代碼: 3501105605）」負責醫師，案係本局於111年11月1日至受處分人診所執行美容醫學服務專案稽查，查有自111年4至5月間設置9張觀察病床，與本局原核准登記6張觀察床不相符，該診所登記事項變更未於事實發生之日起30日內辦理變更登記，核已違反醫療法第15條第1項之規定。,"50,000",醫療法第15條第1項
77,112/06/16,緣受處分人係「OOOO診所（機構代碼：3501108197）」負責醫師，案係該診所於「OOOO集團」Facebook（網址：https://www.facebook.com/OOOO/?locale=zh_TW；本局下載日期：112年5月11日）刊登內容略以：「...透過G緊雷射不僅可改善私密處問題...生活不再澀澀拘謹...任何療程滿萬（禮物圖）私密緊緻凝膠6支...」，並刊載診所名稱、地址及電話等資訊，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
78,112/06/05,受處分人「OOO牙醫診所」（機構代碼：3701013419，負責醫師：段O琦），案係民眾反映該診所開立收據疑義，經本局查察該診所病人陳OO 112年4月20日門診收據，未載明醫療項目明細，核已違反醫療法第22條第1項之規定。,0,醫療法第22條第1項
79,112/05/26,受處分人係「OOO整形外科診所（機構代碼：350102F862）」負責醫師，案係該診所於Line 帳號「OOO整形外科診所(LINE ID：@drqueen )」刊登內容略以：「...《重磅母親節優惠》OOO整形外科診所...五月母親節活動...BOTOX肉毒小腿 第二瓶9折......」，並刊載診所名稱，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。,"50,000",醫療法第86條
80,112/05/22,"緣受處分人係「OOOO診所（機構代碼：350102OOOO）」負責醫師，案係該診所網頁（網址：https://www.facebook.com/OOOOse，本局下載日期：112年4月26日）刊登醫療廣告內容略以：「...海菲秀3堂肉毒除皺1部位 9,999...私訊『靚編+1』 更多寵愛方案...海菲秀 正宗水飛梭 2,999...海菲秀 3堂＋全臉皮秒 1堂 8,999...歡迎私訊更多海菲秀方案...」，等內容，以暗示贈送、優惠等文字刊登具有意圖促銷之醫療廣告，核屬以不正當方式宣傳醫療業務，已違反醫療法第86條規定。","50,000",醫療法第86條
81,112/05/18,受處分人係「OOO診所(機構代碼：3501186208)」負責醫師，經本局人員111年12月19日至該診所查察，查有病人葉OO 111年11月24日、蔡OO 111年11月22日、葉OO 111年11月26日之病歷紀錄未有執行眼壓檢查之護理人員簽名或蓋章，核已違反醫療法第68條第1項之規定。,"10,000",醫療法第68條第1項
82,112/05/18,受處分人「OOOO診所」（機構代碼：350101OOOO，負責醫師：方O涵），案係本局稽查人員112年4月18日至OOOO診所查察，查有病人張OO 111年11月23日及同年12月2日門診醫療費用收據，未載明收費項目明細，核已違反醫療法第22條第1項之規定。,0,醫療法第22條第1項
83,112/05/17,受處分人係「OOOO醫院」負責醫師，查該院神經科自112年3月2日起無專科醫師執業登記，遲至112年4月24日(本局收文日)向本局申請註銷該科別，距事實發生之日已逾30日，違反醫療法第15條第1項之規定。,"50,000",醫療法第15條第1項
84,112/05/16,受處分人111年7月8日7時15分於OOOO醫院，因細故與急診室護理師發生爭執，在急診室內以「白癡」、「有病」等語辱罵護理師，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。 ,"30,000",醫療法第24條第2項
85,112/05/09,受處分人係「OOOO診所」負責醫師，案係民眾反映該診所收費疑義，並檢附112年1月10日該診所開立之收據影本及111年12月27日手術預約單影本各一份，收據內療程項目填寫為「手術費」，金額為「共42萬（含訂金12萬）」，手術預約單預繳現金欄位記載「訂金20000 尾400000現金 1/7尾100000 300000」。受處分人負責診所以預約治療方式，向民眾先收取醫療費用之情事，核已違反醫療法第22條第2項規定。,"50,000",醫療法第22條第2項
86,112/05/08,受處分人為「OO診所」負責醫師，本局稽查人員於110年9月23日至松德診所進行實地稽查管制藥品管理情形，查有病人李OO等6位之110年1月3日至110年9月27日間多筆病歷紀錄及處方箋無醫師簽名或蓋章等情，受處分人未督導所屬醫事人員於執行業務時，親自記載病歷並簽名或蓋章，已違反醫療法第68條第1項之規定。,"10,000",醫療法第68條第1項
87,112/05/02,受處分人係「OOO診所（機構代碼:3501109032）」負責醫師，案係本局111年10月24日派員前往該診所查察，查有現場設置手術台2台、觀察床10床，與本局109年1月15日核准變更登記手術台1台、觀察床9床不相符，該診所登記事項變更未於事實發生之日起30日內辦理變更登記，核已違反醫療法第15條第1項之規定。,"50,000",醫療法第15條第1項
88,112/05/02,受處分人為「OOO診所」負責醫師，案係本局人員於111年10月24日至該診所查察，查獲病人巫O瑋、馬O宇111年10月20日病歷「看診紀錄單」之「醫師」欄位無醫師簽名或蓋章等情，該診所未督導所屬醫事人員於執行業務時，親自記載病歷並簽名或蓋章，已違反醫療法第68條第1項之規定。,"10,000",醫療法第68條第1項
89,112/05/01,"緣受處分人係「OOOO牙醫診所（機構代碼：37010OOOO）」負責醫師，案係該診所於「 OOOO牙醫診所∣OOOO牙醫(@OOOOire.dental)」Instagram（網址：https://www.instagram.com/p/OOOOEti/；本局下載日期：112年4月6日）刊登內容略以：「...現在報名即享 快速矯正...小資專案100,000起...lesourire.dental 政府送6000，從心再推小資專案!...名額有限，趕快私訊小編看額滿了沒!...」，以具有意圖促銷之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
90,112/05/01,受處分人111年3月30日13時20分於OOOO醫院，因不滿護理師及其他護理人員要求其耐心等候，將護理師提供之文具丟擲在地，在上前與護理師理論時徒手推護理師，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。,"22,000",醫療法第24條第2項
91,112/05/01,受處分人111年10月1日2時13分於OOOO醫院，以大聲叫囂、肢體接近及揚言提告等方式，妨礙臺OOOO醫院急診部醫師執行醫療業務，已違反醫療法第24條第2項規定。,"30,000",醫療法第24條第2項
92,112/04/21,緣受處分人係「OO牙醫診所（機構代碼：370102OOOO8）」負責醫師，案係該診所於Facebook帳號「OOOO診所-OOOO」（網址：https://www.facebook.com/cOOOOental；本局下載日期：112年3月29日）刊登內容略以：「...加OOOOLine(ID23694567)看牙送潔牙旅行組 詳細洽OOOO10週年慶 2023/01/09開始發送1000組，送完為止...」，並刊載診所名稱、地址及電話，以不正當方式招攬醫療業務，核已違反醫療法第61條第1項規定。,"50,000",醫療法第61條第1項
93,112/04/19,受處分人110年11月9日6時於OOOO醫院，因不滿護理師未及時更換尿壺，在急診室內辱罵該護理師「幹，長得一副豬臉」等語，並以腳踹該護理師腰部，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。 ,"30,000",醫療法第24條第2項
94,112/04/18,"受處分人係「	OOOO診所（機構代碼:3501OOOO）」負責醫師，案係本局稽查人員於111年8月31日至診所查察，查有現場未設有觀察病床，經查衛生福利部醫事管理系統與本局111年1月7日核准開業登記事項2張觀察病床不符，未向本局辦理醫療機構事項變更。本局於112年2月16日至診所複查，現場仍未設有觀察床，該診所登記事項變更未於事實發生之日起30日內辦理變更登記，核已違反醫療法第15條第1項之規定。","50,000",醫療法第15條第1項
95,112/04/18,"受處分人係「OOOO診所（機構代碼:3501OOOO7）」負責醫師，本局稽查人員111年8月31日至診所現場查察，查有病人林O柔111年6月25日、7月14日購買明細表分別載有儲值金1,500元及3萬1,950元、8月17日購買明細表載有6月25日支付現金1,500元及7月14日支付現金3萬1,950元，前開事項與診所代理人111年9月13日至本局所說明內容及檢附111年7月14日醫療費用收據，其載有手術費(術前檢測評估)3萬3,450元不一致，診所於同年8月17日為病人林O柔執行抽脂補胸療程，卻於111年6月25日收取訂金1,500元；另111年5月17日向病人林O珍收取海菲秀療程3堂費用5,997元，病歷紀錄分別於111年5月17日及8月26日施行前開治療。受處分人負責診所以事先收取醫療費用預約治療，實屬擅立收費項目收費，核已違反醫療法第22條第2項規定。","50,000",醫療法第22條第2項
96,112/04/07,受處分人111年7月10日20時50分於OOOO醫院，因與該院護理師對病患之照護意見分歧而發生紛爭，持椅子作勢攻擊護理師，並以言詞恫嚇護理師，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。 ,"30,000",醫療法第24條第2項
97,112/04/06,受處分人因COVID-19確診於110年6月2日凌晨至OOOO醫院OO院區急診外隔離組合屋之隔離病房接受治療，同日3時40分擅自離開隔離病房，並以強暴方式妨害醫事人員執行醫療業務及毀損隔離組合屋之大門玻璃，已違反醫療法第24條第2項規定。 ,"27,000",醫療法第24條第2項
98,112/03/30,受處分人111年8月10日16時10分於OOOO醫院OO院區，無故出拳毆打護理師，造成護理師受有傷害，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。 ,"30,000",醫療法第24條第2項
99,112/03/29,受處分人110年11月21日5時30分於OOOO醫院，推擠護理師、抓住護理師手臂並掐捏，致護理師無法執行醫療業務且受有右前臂鈍挫傷之傷害，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。 ,"20,000",醫療法第24條第2項
100,112/03/28,受處分人為「OO診所(機構代碼：35011OOOO)」負責醫師，所屬診所護理人員於112年1月11日原應為民眾施打肌肉鬆弛劑，惟診所護理人員為上開民眾施打德莫德納次世代BA.4/5疫苗，造成疫苗接種異常事件。該診所未善盡醫療上必要之注意，未善盡督導所屬醫事人員依法規規定執行業務之責，核已違反醫療法第57條第1項規定。,"50,000",醫療法第57條
101,112/03/27,"緣受處分人係「OO診所（機構代碼：350110OOOO）」負責人，案係民眾檢舉該診所於FB帳號「OO診所」（網址：https://www.facebook.comOOOOnic/）；本局下載日期：112年2月22日）刊登內容略以：「...第三代海芙音波
，全臉不限部位，新客體驗3999...亞歷山大雷射除毛，首次體驗不限發數499起...」，並刊載診所名稱，以具有意圖優惠之醫療廣告為宣傳，核已違反醫療法第86條規定。","50,000",醫療法第86條
102,112/03/21,緣受處分人所屬醫院（OOOO醫院）護理人員於112年2月22日以莫德納次世代BA.4/5疫苗接種於預約NOVAVAX疫苗之民眾。該醫院未善盡醫療上必要之注意，未善盡督導所屬醫事人員依法規規定執行業務之責，核已違反醫療法第57條第1項規定。,"50,000",醫療法第57條
103,112/03/17,緣受處分人係「OOOO診所（機構代碼：350102G056）」負責醫師，案係該診所於LINE帳號「OOOO診所」刊登內容略以：「...喜顏下午茶...肉毒1U 88...肉毒40U 3388...我要諮詢喜顏下午茶專案」，核已違反醫療法第86條規定。,"50,000",醫療法第86條
104,112/03/14,受處分人110年9月14日11時於OOOO醫院加護病房外走廊，因護理師告以新冠肺炎疫情期間，依規定不得探病後，以裝有消毒用酒精之噴霧器，朝護理師臉部噴灑攻擊後離去，妨礙醫療業務之執行，已違反醫療法第24條第2項規定。 ,"30,000",醫療法第24條第2項
105,112/03/14,受處分人「OO牙醫診所」（機構代碼：3701OOOO，負責醫師：林O生），案係民眾反映於111年12月5日至診所看診，診所無開立醫療收據提供民眾，經受處分人於112年3月3日至本局說明坦承屬實，核已違反醫療法第22條第1項之規定。,0,醫療法第22條第1項
