年度,災害名稱,成立時間,撤除時間,災情
105,0617水災,105年6月17日16時20分(二級開設),105年6月17日19時30分,"105年6月17日受午後短延時強降雨影響，臺北市最大累積雨量為南港區南港站141.5毫米，最大時雨量為南港區茶製廠站113.5毫米。
受理案件：101件
房屋積淹水：20件
道路積淹水：71件
地下道積淹水：2件
其他淹水災情：5件
土石崩落：2件
路燈故障：1件"
105,尼伯特(NEPARTAK)颱風105年第1號颱風,"105年7月6日21時(二級開設)
105年7月7日8時(一級開設)
105年7月8日12時(二級開設)",105年7月8日21時,"尼伯特颱風影響期間，臺北市最大累積雨量為南港區茶製廠94.5毫米；最大時雨量分別為內湖區大湖站及士林區明德站34.5毫米。
受理案件：208件
自來水漏水：2件
電線(桿)或纜線毀損：6件
電信停話：2件
電力停電：9件
路燈故障：32件
自來水停水：10件
交通號誌損壞：38件
其他民生設施災情：21件
建物輕微受損：9件
圍牆(籬)倒塌：4件
路樹傾倒：27件
道路路基流失/坑洞：11件
廣告招牌欲墜：13件
廣告招牌掉落：1件
房屋積淹水(含房屋地室)：1件
道路(地區)積淹水：2件
環境汙染(含垃圾清運)：20件"
105,馬勒卡(MALAKAS)颱風105年第16號颱風,"105年9月16日14時(二級開設)
105年9月16日19時(一級開設)
105年9月17日20時(二級開設)",105年9日17日23時30分,"馬勒卡颱風影響期間，臺北市最大累積雨量為北投區小油坑站289.5毫米；最大時雨量亦為北投區小油坑站53.5毫米。
受理案件：132件
路樹傾倒：33件 
廣告招牌欲墜：6件
廣告招牌掉落：3件
道路邊坡坍方/落石：2件
道路路基流失/坑洞：7件
房屋積淹水(含房屋地室)：1件  
道路(地區)積淹水：2件  
前述以外積淹水災情(如高架橋、橋梁、隧道) ：1件 
土石崩落：2件
圍牆(籬)倒塌：1件
建物輕微受損：2件
電線(桿)或纜線毀損：3件
路燈故障：28件
電力停電：8件
自來水停水：5件
交通號誌損壞：15件
環境汙染(含垃圾清運)：8件
前述以外其他災情：5件"
105,梅姬(Megi)颱風105年第17號颱風,"105年9月26日14時(二級開設)
105年26日19時(一級開設)
105年9月28日9時(二級開設)
105年9月28日19時(三級開設)
105年9月29日9時(二級開設)
105年9月29日19時(三級開設)
105年9月30日9時(二級開設)",105年9日30日19時,"梅姬颱風影響期間，臺北市最大累積雨量為北投區小油坑站527.5毫米；最大時雨量亦為北投區小油坑站133.5毫米。
受理案件：4802件
路樹傾倒：1657件 
廣告招牌欲墜：239件
廣告招牌掉落：222件
道路邊坡坍方/落石：5件
道路隧道施工區受損：2件
道路路基流失/坑洞：24件
前述以外之道路、隧道災情：19件
橋梁災情：1件
房屋積淹水(含房屋地室)：19件  
道路(地區)積淹水：22件  
前述以外積淹水災情(如高架橋、橋梁、隧道) ：5件 
土石崩落：5件
圍牆(籬)倒塌：106件  
建物輕微受損：273件  
建物半倒：7件
建物全倒：3件
水閘門故障：2件
前述以外水利設施：3件
電線(桿)或纜線毀損：303件
變電所、電廠受災：24件
路燈故障：163件  
電力停電：517件  
電信停話：5件
自來水停水：100件  
瓦斯管線毀損(含漏氣)：12件
交通號誌損壞：243件  
自來水漏水：19件
交通事故(車禍)：2件
環境汙染(含垃圾清運)：330件
火災：1件
救護送醫案件：133件
溪水暴漲：2件  
前述以外其他災情：334件"
106,0213重大交通事故,106年2月13日22時,106年2月14日3時10分,"2月13日晚間國道5號發生遊覽車翻覆導致33人死亡的重大事故，北市府隨即啟動應變機制，消防局搜救人員第一時間抵達現場，成立現場前進指揮所並啟動大量傷病患機制，消防局吳局長及鄧副市長陸續到達現場擔任總指揮官與新北市消防局聯合救災，總計動員消防、救護及各式車輛共123部、人員286名，高公局調派2部吊車協助搶救，配合救災人員運用器材支撐深入縫隙救援，將傷者陸續救出，北市聯醫中興院區派遣醫師及護理師負責醫療救護工作;另警察局鑑識中心及南港分局偵查隊及殯葬處派遣人員及器材協助士林地檢署主任檢察官進行採證及相驗。
臺北市災害應變中心暨南港區災害應變中心於2月13日22時許二級開設，市長於22時50分抵達市災害應變中心坐鎮指揮，另秘書長於23時至應變中心協調各單位相關應變事宜，市災害應變中心除持續掌握現場即時搜救、人員傷亡及後送就醫情況外，亦協助救災現場需求調派車輛待命支援，同時1999話務中心提供家屬傷亡名單查詢，交通局於全市道路資訊可變標示（CMS)、跑馬燈、北市好停車及臺北好行等管道，顯示或推播車禍及相關管制訊息，臺北廣播電臺於13日23時起每隔30分鐘播報並更新這次意外的死傷人數及傷者名單，社會局緊急派遣9名社工員分別前往7家醫院發放傷者慰問金，已發放傷者各5000元慰問金，另派6名社工員至第2殯儀館關懷慰問死者家屬，後續將發放死亡慰問金各2萬元，同時已聯繫慈濟志工至第2殯儀館協助提供熱食、家屬慰問及祝念。災害應變中心於14日3時10分調整為三級常時開設，共計成立運作4小時55分。
柯市長為處理災害事件後續善後作為，於14日上午7時30分召開會議，指示市府各單位持續協助罹難者及傷者家屬慰助及進行後續求償事宜，請法務局消保官進駐第二殯儀館家屬接待中心，提供諮詢服務(02-87329751);同時要求市府各單位針對救災過程所發現之問題進行審視，並提出精進作為，以增強臺北市政府緊急應變的能力，提供市民更大的安全保障。"
106,光復北路、八德路口臺電潛盾洞道滲水事件,106年5月3日19時,106年5月18日19時,"臺電輸變電工程處潛盾洞道地下45公尺深層施工突發漏水漏砂意外，造成松山區八德路、光復北路口路面沉陷，經市府工務局居中聯繫本府各相關單位給予臺電公司搶救支援。
106年4月29日下午約5時接獲通報臺電輸變電工程處在距地面約45公尺處潛盾洞道工程發生滲水而無法阻絕情形，推算潛盾機組地表位置為八德路、光復北路口，施工作業暫停檢查，道管中心隨即啟動緊急應變機制，成立應變小組立即通知相關管線單位進駐，並要求臺電人員在現場採取緊急開挖與灌漿搶救，並架設即時攝影，隨時回報最新狀況。106年4月30日路面沉陷，是日下午4時，臺電增加灌漿機組向本府提出全面擴大封路請求。為避免發生重大工安意外，同意配合臺電搶修作業，自當日下午6時開始全面封閉八德路、光復北路口，以利加速搶修速度。市府自來水處、工務局新工處、水利處、衛工處、警察局、交通局、消防局及大台北瓦斯公司等，均派人員於現場待命，隨時關閉相關民生管線與配合搶災。106年5月1日，道管中心持續監控路面沉陷情形，臺電公司灌漿搶救仍無法穩固地層且路面持續沉陷，道管中心緊急召集臺電、市府單位與相關管線單位研商後續災害應變事宜，決定採用洞道灌水方式以阻止路面持續沉陷，惟需約3萬噸水需求，道管中心緊急協調自來水處同意就近引管接水至1號直井灌注自來水進入洞道以平衡土壓力。106年5月2日中午工務局長現場指示儘速供水，自來水處先行支援第1支注水管供水，約下午6時，完成第2支注水管供水。經監測路面沉陷情形，已於106年5月3日凌晨，獲得初步控制穩定地面。在各單位幾天不眠不休的努力，所有測點資料，經監造單位研判，地面沉陷情形已獲控制，並經連日來灌漿穩固地層，已無危害之虞。主要沉陷測點之路面已重新銑鋪，並於5月18日下午5時，全線開放通車。
本府除要求臺電持續辦理路面沉陷與建物傾斜監測外，亦已委託技師公會進行監測數據專業研判。另外，市府前進指揮所於通車後，將隨階段性任務完成於下午7時撤離，市民如果因這次事件有建物損壞情形尚未辦理登記，可洽臺電聯絡電話(02)2322-7158、臺北市建築管理工程處(1999或27208889轉8358)或道管中心聯絡電話(02)8978-8900轉8015~8017，市府將協請臺電妥善處理。"
106,0602水災,106年6月2日12時(二級開設),106年6月4日12時,"受鋒面雨帶影響，臺北市最大累積雨量為北投區鞍部站367毫米，北投區及士林區最大時雨量皆達100毫米以上(最大值為北投區竹子湖站111毫米)，其他各區亦達60毫米以上。
受理案件：607件
路樹災情：26件
道路、隧道災情：48件
積淹水災情：433件
土石災情：46件
建物毀損：3件
水利設施災害：4件
民生基礎設施災情：31件
環境汙染：1件
其他災情：15件"
106,尼莎(NESAT)颱風106年第9號颱風,"106年7月28日22時(二級開設)
106年7月29日8時(一級開設)
106年7月30日14時(二級開設)",106年7日30日18時,"尼莎颱風影響期間，臺北市最大累積雨量為北投區鞍部站110毫米；最大時雨量為士林區明德站38.5毫米。
受理案件：2611件
路樹傾倒：1019件 
廣告招牌欲墜：137件
廣告招牌掉落：109件
道路邊坡坍方/落石：1件
道路隧道施工區受損：5件
道路路基流失/坑洞：20件
前述以外之道路、隧道災情：17件
橋梁災情：2件
房屋積淹水(含房屋地室)：3件  
道路(地區)積淹水：2件  
圍牆(籬)倒塌：73件  
建物輕微受損：137件  
建物全倒：1件
電線(桿)或纜線毀損：131件
變電所、電廠受災：7件
路燈故障：79件  
電力停電：331件  
電信停話：6件
自來水停水：74件  
交通號誌損壞：112件  
自來水漏水：16件
交通事故(車禍)：1件
環境汙染(含垃圾清運)：135件
救護送醫案件11
前述以外其他災情：182件"
106,0815停電,106年8月15日17時45分(二級開設),106年8月15日22時30分,"受理案件：323件
電線(桿)或纜線毀損：1件
變電所、電廠受災：1件
路燈故障：7件
電力停電：265件
交通號誌損壞：33件
火災：1件
其他災情：15件"
106,泰利(TALIM）106第18號颱風,106年9月12日21時(二級開設),106年9月14日9時,"泰利颱風影響期間，臺北市最大累積雨量為北投區竹子湖站127.5毫米，最大時雨量為士林區福德站25毫米。
一、本府於9月12日21時成立市級及區級災害應變中心二級開設，共計開設36小時，期間召開2次災害防救會報。
二、本次泰利颱風災害應變中心開設期間，本市最大累積雨量為北投區竹子湖112.5毫米(36小時)，最大風力為北投區鞍部陣風8級、平均風6級。共計受理災情4件，路樹倒塌1件、積淹水1件、停電1件(停電戶數1138戶)、交通號誌損壞1件，均為輕微災情。"
107,瑪莉亞(MARIA)107年第8號颱風,"107年7月9日21時(二級開設)
107年7月10日8時(一級開設)
107年7月11日11時30分(二級開設)",107年7月11日14時30分,"瑪莉亞颱風影響期間，臺北市最大累積雨量為北投區小油坑站407毫米，最大時雨量亦為北投區小油坑站35毫米。
一、本府於7月9日21時成立市級及區級災害應變中心二級開設，共計開設41.5小時，期間召開4次災害防救會報。
二、本市於瑪莉亞颱風侵台期間受風勢影響的程度大於雨勢，實測風力，中正區臺北測站最大陣風達9級，中山區大直測站陣風達10級，北投區陽明山鞍部測站陣風達12級；降雨統計部分，平地各區最大時雨量約20至30毫米，北投山區油坑測站最大時雨量達87.5毫米，山區總累積雨量較平地多，總計陸上颱風警報發布期間臺北市山區最大累積雨量為北投區油坑測站的407毫米，平地最大累積雨量為士林區天母測站的184毫米。
三、本次瑪莉亞颱風應變中心開設期間共受理災情510件，其中以路樹傾倒災情案件340件佔67%最多，民生基礎設施案件98件佔19%(包含停電、停水、號誌損壞等)次之，已於13日12時全數處理完成。另本市因 颱風受傷人數計5名，受傷原因以風勢造成路樹枝斷裂砸傷或跌倒為主，傷患送醫治療後均已出院。
四、總計受理案件：510件
路樹傾倒：340件
廣告招牌欲墜：6件
廣告招牌掉落：1件
道路路基流失/坑洞：8件
前述以外之道路、隧道災情：2件
土石崩落：2件
道路(地區)積淹水：1件
前述以外積淹水災情(如高架橋、橋梁、隧道) ：1件
圍牆(籬)倒塌：11件
建物輕微受損：11件
電線(桿)或纜線毀損：22件
變電所、電廠受災：1件
路燈故障：13件
電力停電：28件
自來水停水：3件
交通號誌損壞：31件
環境汙染(含垃圾清運)：11件
前述以外其他災情：18件"
107,0908水災,107年9月8日17時43分(二級開設),107年9月8日22時30分,"107年9月8日受北方鋒面南下及臺灣東南部海面熱帶性低氣壓影響，16時起旺盛對流於北市東北側發展並往西南擴展，造成市中心劇烈降雨，16時30分至18時30分為降雨最劇烈的時段，士林、中正、大安及信義4個行政區共7個雨量站時雨量達100毫米以上，士林及信義區三小時累積雨量達200毫米以上(士林區溪山里站3小時累積雨量237.5毫米)，最大時雨量為信義區挹翠山莊站138毫米。造成本市多處積淹水災情。
本市各級災害應變中心於9月8日17時43分二級開設，15個單位進駐處理各項災情，市長亦於18時40分抵達應變中心瞭解災情及應變處置情況，20時之後降雨逐漸趨緩且積淹水消退，應變中心於22時30分恢復為三級常時開設，總計開設運作4小時47分鐘。
總計受理案件：261件
路樹傾倒：8件
道路路基流失/坑洞：3件
前述以外之道路、隧道災情：10件
土石崩落：6件
道路(地區)積淹水：175件
前述以外積淹水災情(如高架橋、橋梁、隧道) ：38件
圍牆(籬)倒塌：1件
建物輕微受損：1件
變電所、電廠受災：1件
路燈故障：1件
電力停電：7件
自來水停水：2件
交通號誌損壞：2件
環境汙染(含垃圾清運)：1件
前述以外其他災情：6件"
108,0722水災,108年7月22日16時1分(二級開設),108年7月22日19時,"108年7月22日14時本市西區及南區一帶對流系統發展，隨後增強擴散影響造成部分行政區短延時強降雨，本市雨量主要集中在大安、松山、中正、中山及信義區，期間大安、中山及中正區時雨量超過100毫米(大安森林公園136.5毫米;中正橋105毫米；長安國小100毫米)，其中大安森林公園30分鐘累積雨量更達到86.5毫米，16時40分後對流胞消散，本市雨勢趨緩，總計開設運作2小時59分。
總計受理案件：255件
道路(地區)積淹水：177件
前述以外積淹水災情(如高架道路、橋梁、隧道)：7件
房屋積淹水(含房屋地室)：56件
地下道積淹水(含車行及人行地下道)：4件
民生、基礎設施災情：10件
道路、隧道災情：1件"
108,0808利奇馬(LEKIMA)108年第9號颱風,"108年8月8日9時(二級開設)
108年8月8日14時(一級開設)
108年8月9日14時(二級開設)",108年8月9日17時,"利奇馬颱風影響期間，臺北市最大累積雨量為北投區陽明山站194.5毫米，最大時雨量為北投區小油坑站35毫
米。
一、本府於8月8日9時成立市級及區級災害應變中心二級開設，8日14時成立一級開設，9日14時再降為二級開設、9日17日恢復三級開設，共計開設32小時，期間召開2次工作會報。
二、受傷人數：8人 死亡人數：1人
總計受理案件：212件
廣告招牌災情：2件
水利設施災害：1件
民生、基礎設施災情：75件
土石災情：2件
路樹災情：90件
道路、隧道災情：22件
環境汙染：6件
積淹水災情：6件
建物毀損：5件
其他災情：3件"
108,0930米塔(MITAG)108年第18號颱風,"108年9月30日8時30分(二級開設)
108年9月30日10時(一級開設)",108年10月1日7時,"米塔颱風影響期間，臺北市最大累積雨量為北投區竹子湖站348毫米，最大時雨量為北投區陽明山站63毫米。
一、本府於9月30日8時30分成立市級及區級災害應變中心二級開設，10時成立一級開設，10月1日日17日恢復三級開設，共計開設22小時30分，期間召開3次工作會報。
二、總計受理案件：363件、受傷人數：3人
路樹災情：180件
廣告招牌災情：11件
道路、隧道災情：19件
土石災情：9件
積淹水災情：6件
建物毀損：10件
民生、基礎設施災情：92件
交通事故：1件
橋梁災情：2件
環境汙染：15件
其他災情：18件"
109,0803哈格比(HAGUPIT)109年第4號颱風,109年8月3日11時48分(二級開設),109年8月3日18時30分,"哈格比颱風影響期間，臺北市最大累積雨量為北投區小油坑站231.5毫米，最大時雨量為北投區桃源國中站93.5毫米。
一、本府於8月3日11時48分成立市級及區級災害應變中心二級開設，18時30分恢復三級開設，共計開設5小時42分，期間召開1次工作會報。
二、總計受理案件：103件
死亡人數：1人
土石崩落：3件
交通號誌損壞：3件
電線(桿)或纜線毀損：1件
路樹傾倒：28件
道路、隧道災情：12件
廣告招牌災情：1件
積淹水災情：50件
其他災情：4件
人員落水：1件
三、死亡案件，案發地點北投區承德路7段401巷575號(下八仙抽水站)，報案時間109年8月3日16時36分，出動人車消防車11輛、救護車1輛、人員31人(潛水人員6人)，現場係水利處報案表示由監視器發現有水利處技工落水，18時01分發現大體，20時49分回報現場搜索完畢並陪同家屬前往北投分局說明搶救情形，後續由水利處人員及員警處理。"
110,0513停電,110年5月13日16時25分(二級開設),110年5月13日20時30分,"一、110年5月13日14時37分因台電興達電廠事故全場停機，全台各地開始分區輪流停電，本市14時42起亦開始陸續出現停電、電梯受困及號誌故障等災情。
二、總計受理案件：259件
火災1件
電力停電203件
自來水停水3件
交通號誌損壞33件
火災1件
救護送醫5件
其他災情13件
另消防局119救災救護指揮中心統計：
電梯受困約171件
協助脫困157件、人員234名
發電機冒煙43件
三、交通局出動14輛、人力36人次、消防局出動300車次、889人次、警察局出動警力867人、義交176人。
四、北市產業局統計第一輪限電自下午3時起至晚間8時10分第六輪復電止，累計受影響戶數計有92萬379戶。北市產業局籲請台電公司加強電網設備維護，以保障公共安全，減少民眾不便。"
110,0604水災,"110年6月4日13時57分(二級開設)
110年6月4日14時24分(一級開設)
110年6月4日18時強化三級",110年6月4日22時,"110年6月4日受午後短延時強降雨影響，13至15時為臺北市降雨最為劇烈的時段，大安區、信義區及文山區3個行政區三小時累積雨量達200毫米(最大值為大安區福州山站205毫米)，6個行政區(大安區、信義區、文山區、南港區、內湖區及松山區)時雨量超過100毫米(最大時雨量為大安區福州山站137.5毫米)。
一、13時57分市災害應變中心提升二級開設(由消防局吳俊鴻局長擔任指揮官)，14時24分市災害應變中心提升一級開設(由蔡炳坤副市長擔任指揮官)，17時降二級開設，18時改為三級強化開設，22時市災害應變中心恢復為三級常時開設。惟水災主管機關(工務局)及信義區、大安區災害應變中心保留必要編組，配合民政局持續淹水調查及抽水機調度。
二、災情案件：市災害應變中心於開設時間，共計接獲601件災情通報，其中505件為積淹水案件，以道路積水及民宅家戶積淹水為多數，主要集中在信義、大安及文山區。
三、總計受理案件：601件
土石災情：17件
民生基礎設施災情：25件
路樹傾倒：15件
道路、隧道災情：24件
橋梁災情：1件
廣告招牌災情：3件
積淹水災情：504件
環境汙染：1件
其他災情：11件
四、家戶積淹水部分：計有277戶，積淹水深度超過100公分計有55戶、50至100公分計有28戶(依民政局統計系統為準)"
110,0721烟花(IN-FA)110年第6號颱風,"110年7月21日22時(二級開設)
110年7月23日22時強化三級",110年7月24日9時,"烟花颱風影響期間，臺北市最大累積雨量為北投區陽明山站492毫米，最大時雨量為北投區大屯山站83.5毫米，最大陣風山區12級、平地8級。
一、本府於7月21日22時成立市級及區級災害應變中心二級開設，7月23日22時改為強化三級開設，7月24日9時撤除。本次共二級開設48小時，期間召開1次工作會報。
二、總計受理案件：118件
土石崩落：3件
交通號誌損壞：3件
電線(桿)或纜線毀損：5件
路燈故障：4件
路樹傾倒：67件
道路、隧道災情：4件
廣告招牌災情：2件
房屋積淹水災情：1件
道路(地區)積淹水：6件
建物輕微受損：1件
電力停電：10件
其他災情：12件"
110,0911燦樹(CHANTHU)110年第14號颱風,"110年9月11日14時(二級開設)
110年9月11日17時(一級開設)
110年9月12日20時30分強化三級",110年9月12日21時,"燦樹颱風影響期間，最大累積雨量為士林區擎天崗241毫米，最大時雨量為12日14時於北投區大屯山站65.5毫米，最大陣風山區10級、平地8級。
一、本府於9月11日14時成立市級及區級災害應變中心二級開設，9月11日17時改為一級級開設，9月12日20時30分改為強化三級開設、21時撤除。本次二級開設3小時，一級開設27小時30分、強化三級開設30分，期間召開4次工作會報。
二、總計受理案件：138件
土石崩落：1件、電信停話：1件、交通號誌損壞：7件、電線(桿)或纜線毀損：5件、路燈故障：9件、自來水停水：3件、路樹傾倒：64件、橋梁災情：1件、廣告招牌災情：6件、道路(地區)積淹水：2件、道路隧道災情：1件、建物輕微受損：10件、圍牆(籬)倒塌：2件、電力停電：18件、環境汙染(含垃圾清運)：2件、其他災情：6件"
111,0303停電,111年3月3日10時11分(二級開設),111年3月3日12時,"一、發生情況：台電公司今(3)日上午9時7分，因興達電廠開關場事故，導致南部地區電力供需失衡，龍崎超高壓變電所以南機組跳脫，系統自動切離保護，故造成南部地區停電。事故發生當時系統備轉容量率超過20%。因全台電力系統受到瞬間影響，引發中北部地區低頻卸載，全臺灣各地紛傳停電事故，本市中山、大同、松山、內湖、士林、信義、南港、文山、萬華、中正、北投區有多處停電的情況，本市各地陸續接獲電梯受困及號誌故障等災情通報。
二、主要災情：
(一)電力停電：(造成臺北市約48萬9,436戶停電，已於上午11時28分全數復電)
(二)交通號誌故障239件(均已恢復正常)。交工處工程隊動員15部車、30人次全力支援配送發電機。計有：市府仁愛、市府松壽、市府松高、辛亥芳蘭、羅斯南海、青島杭州、仁愛林森、新生濟南、羅斯興隆、忠孝新生、南京塔悠、金山愛國、忠孝金山、基隆松隆、信義松仁、仁愛逸仙、南京敦化、建國南路二段151巷、基隆永吉、內湖港墘等20處路口配送完成。
(三)針對停電後路口交通號誌停擺，警察局於158處重要路口派遣員警指揮交通(計動員220員)。
(四)110受理案件數(統計至12時)：
交通號誌故障：220件。
使用警力數：254人次。
使用義交數：3人次。
交工處工程人員15車30人次。
(五)電梯受困49件：消防局出動各式消防車輛110車次、救護車3車次、動員人力378人次。
(六)救護送醫1件(因患者長期臥床，停電無法使用製氧機，由消防局119受理後送就醫。"
111,0825水災,"111年8月25日16時14分強化三級開設
111年8月25日16時32分(二級開設)
111年8月25日17時4分降為強化三級開設",111年8月25日18時,"一、降雨情況：8月25日午後對流系統於15時前後在信義、大安區一帶開始發展，16時30分起，市區中心及西南側一帶有較為顯著的雨勢(信義、大安、內湖、文山、松山及中山區時雨量均超過50毫米以上)，最大時雨量為信義區三興國小115.5毫米，10分鐘最大雨量為信義區三興國小29.5毫米。17時10分後對流胞消散，本市雨勢逐漸趨緩。
二、災情狀況：0825午後強降雨期間，共接獲23件災情，分別為道路積淹水12件，房屋積淹水4件，路樹傾倒3件，交通號誌損壞2件，電線吹落1件及其他案件1件。
三、災情統計：總計受理案件：23件
路樹傾倒：3件
房屋積淹水(含房屋地室)：4件
道路(地區)積淹水：9件
地下道積淹水(含車行及人行地下道):2件
前述以外積淹水災情(如高架橋、橋梁、隧道):1件
電線(桿)或纜線毀損:1件
交通號誌損壞:2件
其他災情：1件"
111,"0903軒嵐諾
(HINNAMNOR)111年第11颱風","111年9月2日9時30分強化三級
111年9月3日8時(一級開設)
111年9月3日17時(二級開設)
111年9月4日9時強化三級",111年9月4日10時30分,"軒嵐諾颱風影響期間，最大累積雨量為北投區鞍部站345毫米，最大時雨量為4日清晨颱風外圍雨帶通過時，士林區猴洞溪61毫米，最大陣風山區8級、平地6級。
一、本府於9月2日9時30分市災害應變中心強化三級開設，3日8時各級災害應變中心提升一級開設，3日17時各級災害應變中心降為二級開設，4日9時市災害應變中心降為強化三級開設運作，4日10時30分恢復為常時三級開設，期間召開1次工作會報。
二、總計受理案件：173件
土石崩落3件、交通號誌損壞8件、地下道積淹水(含車行及人行地下道)1件、自來水停水2件、房屋積淹水(含房屋地室)2件、前述以外之道路、隧道災情1件、前述以外其他災情4件、前述以外積淹水災情(如高架橋、橋梁、隧道)1件、建物輕微受損4件、圍牆(籬)倒塌1件、路樹傾倒100件、路燈故障6件、道路(地區)積淹水4件、道路路基流失/坑洞5件、道路邊坡坍方/落石2件、電力停電12件、電線(桿)或纜線毀損6件、廣告招牌掉落2件、廣告招牌欲墜7件、環境汙染(含垃圾清運)2件"
112,0630水災,"112年6月30日14時40分強化三級開設
112年6月30日14時49分(二級開設)
112年6月30日17時降為強化三級開設",112年6月30日18時5分,"一、降雨情況
6月30日午後對流系統於13時50分前後在中山區及士林區一帶開始發展，14時30分起市區西側一帶有較為顯著的雨勢(中山、士林、大同、中正及萬華區時雨量均超過50毫米)，最大時雨量為中山區劍南路站111.5毫米，10分鐘最大雨量為中山區劍潭山站28.5毫米，16時10分起雷雨胞逐漸消散，本市各區雨勢趨緩，至17時30分各地時雨量均在5毫米以下。
二、災情狀況
0630午後短延時強降雨期間，共接獲68件災情，分別為道路積淹水35件、路樹傾倒10件、房屋積淹水(含房屋地下室2件)8件、交通號誌損壞7件、廣告招牌欲墜1件、道路路基坑洞2件、電力停電2件、土石崩落1件、水利設施災害1件及其他案件(溪水爆漲)1件。
三、災情統計：總計受理案件：68件
道路積淹水：35件
路樹傾倒：10件
房屋積淹水(含房屋地下室2件) ：8件
交通號誌損壞：7件
廣告招牌欲墜：1件
道路路基坑洞：2件
電力停電：2件
土石崩落：1件
水利設施災害：1件
其他案件(溪水爆漲) ：1件。"
112,0802卡努（KHANUN）112年第6號颱風,"112年8月2日9時30分強化三級
112年8月2日14時(二級開設)
112年8月2日22時(一級開設) ",112年8月4日8時,"112年8月1至4日間，中度颱風卡努(KHANUN) 接近臺灣東北方
海面，隨後轉向西北於臺灣東北部海面約320公里處通過，其7
級風暴風半徑掠過基隆北海岸、東北角陸地，期間本市受颱風
外圍雨帶通過影響，有間歇性的雨勢，降雨熱區為迎風面北投
陽明山區，總累積雨量302.5毫米，最大時雨量45毫米；最大
陣風山區12級、平地9級。

災情統計：總計受理案件357件。
土石崩落：2件
自來水停水：7件
電力停電：14件
電線(桿)或纜線毀損：17件
交通號誌損壞：17件
路燈故障：12件
前述以外其他災情：14件
建物輕微受損：24件
圍牆(籬)倒塌：7件
路樹傾倒：189件
道路路基流失/坑洞：5件
道路邊坡坍方/落石：1件
前述以外之道路、隧道災情：2件
廣告招牌欲墜：22件
廣告招牌掉落：8件
地下道積淹水(含車行及人行地下道) ：1件
道路(地區)積淹水：3件
環境汙染(含垃圾清運) ：12件
註：衛生局通報8月3日23時35分1男性機車騎士騎車自摔，自行至西園醫院就醫，經診斷左腳踝撕裂傷，就醫後於4日0時18分離開醫院。"
112,0902海葵(HAIKUI)112年第12號颱風,112年9月2日9時    (二級開設),112年9月4日12時,"112年9月1至2日海葵颱風接近臺灣東南方海面，隨後持續朝西
北西於臺東登陸，並於臺南高雄交界出海，其7級風暴風半徑
涵蓋新竹以南地區，期間本市受颱風外圍雨帶通過影響，有間
歇性的雨勢，降雨熱區為南港區製茶廠達134.5毫米，最大時
雨量於北投區水磨坑溪達30.5毫米，山區最大陣風於北投區大
屯山達10級、平地最大陣風於士林區天母達8級。
災情統計：總計受理案件123件。
電力停電：5件。
交通號誌損壞：5件。
路燈故障：3件。
電線(桿)或纜線毀損：9件。
交通事故(車禍)：1件。
前述以外其他災情：3件。
建物輕微受損：6件。
圍牆(籬)倒塌：3件。
路樹傾倒：72件。
道路路基流失/坑洞	：3件。
廣告招牌欲墜：6件。
廣告招牌掉落：1件。
前述以外積淹水災情(如高架橋、橋梁、隧道)：2件。
道路(地區)積淹水：2件。
房屋積淹水(含房屋地室)：1件。
環境汙染(含垃圾清運)：1件。"
