醫事機構代碼,層級,院所名稱,電話,分機,地址,可給藥,可衛教,僅調劑
0101090517,區域醫院,臺北市立聯合醫院和平婦幼院區[婦幼],(02)25553000,,臺北市中正區中華路2段33號、35號、福州街12號、福州街10巷7號,V,V,
0101090517,區域醫院,臺北市立聯合醫院和平婦幼院區[和平],(02)25553000,,臺北市中正區中華路2段33號、35號、福州街12號、福州街10巷7號,V,V,
0401180014,醫學中心,國立臺灣大學醫學院附設醫院,(02)23123456,62147,臺北市中正區中山南路7、8號；常德街1號,V,V,
3501181918,診所,丞泰耳鼻喉科診所,(02)23973668,,臺北市中正區南昌路1段78號,V,V,
3501183547,診所,怡和診所,(02)23625100,,臺北市中正區汀州路2段212號,V,V,
3501183850,診所,健康101診所,(02)23645143,,臺北市中正區牯嶺街97號1樓,V,V,
3501185425,診所,宜康診所,(02)23417696,,臺北市中正區新生南路一段148號,V,,
5901184777,藥局,專品公園藥局,(02)23142388,,臺北市中正區公園路32號1樓,V,V,
5901184857,藥局,專品南昌藥局,(02)23560296,,臺北市中正區龍福里南昌路1段66號1樓,V,V,
5901184919,藥局,和平藥局,(02)23755303,,臺北市中正區中華路２段４３號１樓,V,V,
0101090517,區域醫院,臺北市立聯合醫院中興院區,(02)25553000,,臺北市大同區鄭州路145號,V,V,
3501090458,診所,施小兒科診所,(02)25941935,,臺北市大同區重慶北路3段28號,V,V,
3501091508,診所,包眼科診所,(02)25537526,,臺北市大同區保安街54－1號,V,V,
3501092890,診所,建成診所,(02)25500712,,臺北市大同區長安西路82號,V,,
3501093011,診所,廣博診所,(02)25594775,,臺北市大同區長安西路220巷5號,V,,
3501093057,診所,中華民國防癆協會第一胸腔病防治所,(02)25577221,,臺北市大同區民權西路104號2樓,V,V,
3501093584,診所,建順診所,(02)25573250,,臺北市大同區甘州街51號,V,V,
3501093913,診所,寧夏診所,(02)25586060,,臺北市大同區民生西路236號,V,V,
5901091688,藥局,宏泰藥師藥局,(02)25957025,,臺北市大同區酒泉街123號1樓,V,V,
0101090517,區域醫院,臺北市立聯合醫院林森中醫昆明院區,(02)25553000,,臺北市中山區林森北路530號（原昆明院區地址：萬華區昆明街100號）,V,V,
1101100011,醫學中心,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,(02)25433535,,臺北市中山區中山北路2段92號,V,V,
3501100217,診所,陳炯輝診所,(02)25221796,,臺北市中山區民生東路2段103號,V,V,
3501101849,診所,北安聯合診所,(02)25337777,,臺北市中山區北安路569之1號2樓．之2、3、4號1、2樓,V,V,
3501103272,診所,大直診所,(02)25332339,,臺北市中山區北安路595巷2弄2號（1樓及地下層）及6號,V,V,
3501105310,診所,高固?診所,(02)25323036,,臺北市中山區北安路613號及595巷1號地下1層,V,V,
3501106559,診所,杏慈診所,(02)25013109,,臺北市中山區民權東路2段152巷2之1號,V,V,
3501107369,診所,晴光診所,(02)25853210,,臺北市中山區林森北路556號,V,V,
3501107574,診所,榮星診所,(02)25168112,,臺北市中山區龍江路272號及274號,V,V,
3501107645,診所,惟?診所,(02)25323038,,臺北市中山區北安路595巷1號地下一層,V,V,
3501107725,診所,大直佳恩診所,(02)25323301,,臺北市中山區北安路591號,V,V,
3501108366,診所,上直診所,(02)85091776,,臺北市中山區北安路458巷41弄49號,V,,
350110A566,診所,晨昕診所,(02)25181268,,臺北市中山區復興北路350號3樓,V,V,
350110B143,診所,沐晴診所,(02)25189009,,臺北市中山區下埤里龍江路４０１號１樓,V,V,
3701105449,牙科診所,康卓牙醫診所,(02)27318331,,臺北市中山區朱崙街56號,V,V,
5901103272,藥局,長安藥局,(02)27772740,,臺北市中山區長安東路2段171之2號(1樓),V,V,
5901103585,藥局,禾全藥局,(02)25165721,,臺北市中山區龍江路332號,V,V,
5901103807,藥局,專品龍江藥局,(02)25178870,,臺北市中山區龍江路311號1樓,V,V,
5901103834,藥局,弘元中西藥局,(02)25185688,,臺北市中山區長安東路二段６４號１樓,V,V,
5901104082,藥局,滿順藥局,(02)25075283,,臺北市中山區伊通街５４號１樓,V,V,
0501010019,區域醫院,三軍總醫院松山分院附設民眾診療服務處,(02)27642151,671718,臺北市松山區健康路131號,V,V,
1101010012,醫學中心,長庚醫療財團法人台北長庚紀念醫院,(02)27135211,,臺北市松山區敦化北路199號,V,V,
1101010021,區域醫院,基督復臨安息日會醫療財團法人臺安醫院,(02)27718151,,臺北市松山區八德路2段424、426號,V,V,
1501010010,地區醫院,博仁綜合醫院,(02)25786677,,臺北市松山區光復北路66、68號,V,,
3501011493,診所,車參薇小兒科診所,(02)25770101,,臺北市松山區八德路3段195號1樓,V,V,
3501013059,診所,親親家庭診所,(02)25283232,,臺北市松山區南京東路5段347號,V,V,
3501014476,診所,鈞賀診所,(02)27601181,,臺北市松山區富錦街462號,V,V,
5901012570,藥局,予志藥局,(02)27623522,,臺北市松山區富錦街521號,V,V,
5901013942,藥局,專品南京藥局,(02)25147685,,臺北市松山區南京東路4段73號,V,V,
0101090517,區域醫院,臺北市立聯合醫院仁愛院區,(02)25553000,,臺北市大安區仁愛路四段10號,V,V,
1101020018,醫學中心,國泰醫療財團法人國泰綜合醫院,(02)27082121,,臺北市大安區仁愛路4段280號，266巷6號,V,V,
1101020036,地區醫院,宏恩醫療財團法人宏恩綜合醫院,(02)27713161,,臺北市大安區仁愛路4段71巷1號及4段61號、91巷16號,V,V,
3501021391,診所,全家聯合診所,(02)27067575,,臺北市大安區和平東路2段353號,V,V,
3501021579,診所,沈德昌診所,(02)27035300,,臺北市大安區四維路189號,V,V,
3501022496,診所,仁安診所,(02)27065995,,臺北市大安區和平東路2段175巷34號1樓,V,V,
3501026225,診所,張國麟耳鼻喉科診所,(02)27338386,,臺北市大安區和平東路3段147號1樓,V,V,
3501027884,診所,安吉耳鼻喉科診所,(02)27385008,,臺北市大安區和平東路3段226號,V,V,
3501028210,診所,博安家庭醫學科診所,(02)23567066,,臺北市大安區麗水街3號,V,V,
3501029931,診所,松德診所,(02)27073326,,臺北市大安區四維路170巷16號,V,V,
350102A107,診所,夏爾診所,(02)23255508,,臺北市大安區信義路4段265巷52號、54號,V,V,
350102E445,診所,安民家庭醫學科診所,(02)27218556,,臺北市大安區大安路1段65號2樓之1,V,V,
350102I587,診所,瑞森診所,(02)27076002,,臺北市大安區信義路３段１３４巷１００號１樓,V,V,
3701020790,牙科診所,愛育牙醫診所,(02)27059704,,臺北市大安區復興南路2段193巷7號,V,V,
4001020028,診所,尹書田醫療財團法人書田泌尿科眼科診所,(02)23690211,,臺北市大安區建國南路2段276號1樓、278號1樓,V,,
5901023591,藥局,一心藥局,(02)27321818,,臺北市大安區和平東路3段238號,V,V,
5901024490,藥局,明星大藥局,(02)27023747,,臺北市大安區光復南路430之1號,V,V,
5901024696,藥局,仁華藥局,(02)27336762,,臺北市大安區臥龍街155號,V,V,
0401190010,地區醫院,國立臺灣大學醫學院附設醫院北護分院,(02)23717101,,臺北市萬華區康定路37號、臺北市萬華區內江街87號,V,V,
0901190010,地區醫院,西園醫療社團法人西園醫院,(02)23076968,,臺北市萬華區西園路2段266～274號、185、187號,V,V,
1401190039,地區醫院,同仁院醫療財團法人萬華醫院,(02)23059292,,臺北市萬華區中華路2段606巷6號,V,V,
3501192251,診所,漢宗小兒科診所,(02)23039022,,臺北市萬華區中華路2段434號,V,V,
3501192733,診所,天行健診所,(02)23320688,,臺北市萬華區寶興街121、125、127號,V,V,
3501194451,診所,青年診所,(02)23032450,,臺北市萬華區中華路2段424號,V,,
3501195270,診所,萬華衛康內科診所,(02)23092807,,臺北市萬華區萬大路217號,V,V,
3501195289,診所,艋舺通安診所,(02)23089862,,臺北市萬華區環河南路2段242號、242之1號,V,,
3501195690,診所,瑞生診所,(02)23012788,,臺北市萬華區西園路2段250號、250號2樓、250號3樓、,V,V,
5901190024,藥局,長泰藥局,(02)23012869,,臺北市萬華區西園路2段280號,V,V,
5901192180,藥局,康之友藥局,(02)23011598,,臺北市萬華區青年路20號,V,V,
5901192822,藥局,專品藥局,(02)23718892,,臺北市萬華區長沙街2段71－1號,V,V,
5901193123,藥局,千誠北護藥局,(02)23123530,,臺北市萬華區內江街114號,V,V,
5901193249,藥局,光華藥局,(02)23613609,,臺北市萬華區華西街19－5號,V,V,
0101090517,區域醫院,臺北市立聯合醫院松德院區,(02)25553000,,臺北市信義區松德路309號、中正區金山南路一段5號1、2樓,V,V,
1301170017,區域醫院,臺北醫學大學附設醫院,(02)27372181,,臺北市信義區吳興街252號、250號,V,V,
3401171107,診所,聯合報系員工診療所,(02)27681234,,臺北市信義區忠孝東路4段559巷1號6樓,V,V,
3401171170,診所,台灣中油股份有限公司員工診所,(02)87259752,,臺北市信義區松仁路3號（實際營業地址：3樓）,V,V,
3501170237,診所,信義邱婦產科診所,(02)27278275,,臺北市信義區虎林街198號,V,,
3501170255,診所,朱耳鼻喉科診所,(02)27209172,,臺北市信義區忠孝東路5段452號,V,V,
3501172893,診所,姚醫師診所,(02)87898822,,臺北市信義區忠孝東路5段396號2樓,V,V,
3501173032,診所,陽光耳鼻喉科診所,(02)27279529,,臺北市信義區松山路484之8號,V,V,
3501173569,診所,信義耳鼻喉科診所,(02)23450288,,臺北市信義區莊敬路391巷4號,V,V,
3501173783,診所,俊安診所,(02)27605757,,臺北市信義區永吉路30巷148弄6號,V,,
3501174593,診所,理恩診所,(02)87899728,,臺北市信義區忠孝東路5段410之2號,V,V,
3501175929,診所,承功診所,(02)23456772,,臺北市信義區忠孝東路５段３７２巷２７弄６４號１樓,V,V,
5901170406,藥局,鼎泰藥局,(02)27620617,,臺北市信義區基隆路1段155號1樓,V,V,
5901170915,藥局,杏仁藥局,(02)27262541,,臺北市信義區大道路135號,V,V,
5901172240,藥局,德康大藥局,(02)27272502,,臺北市信義區松山路541巷21號,V,V,
5901172839,藥局,九州藥局,(02)87323331,,臺北市信義區和平東路3段239號,V,V,
5901173710,藥局,專品光復藥局,(02)27586682,,臺北市信義區光復南路467之1號,V,V,
